position,velocity,acceleration,jerk,heading,dt,x,y
0.00429, 0.28571, 9.52381, 317.46032, 0.00000, 0.03000, 1.00429, 25.50000, false
0.01714, 0.57143, 9.52381, 0.00000, 0.00000, 0.03000, 1.01714, 25.50000, false
0.03857, 0.85714, 9.52381, 0.00000, 0.00000, 0.03000, 1.03857, 25.50000, false
0.06857, 1.14286, 9.52381, 0.00000, 0.00000, 0.03000, 1.06857, 25.50000, false
0.10714, 1.42857, 9.52381, 0.00000, 0.00000, 0.03000, 1.10714, 25.50000, false
0.15429, 1.71429, 9.52381, -0.00000, 0.00000, 0.03000, 1.15429, 25.50000, false
0.21000, 2.00000, 9.52381, 0.00000, 0.00000, 0.03000, 1.21000, 25.50000, false
0.27429, 2.28571, 9.52381, -0.00000, 0.00000, 0.03000, 1.27429, 25.50000, false
0.34714, 2.57143, 9.52381, 0.00000, 0.00000, 0.03000, 1.34714, 25.50000, false
0.42857, 2.85714, 9.52381, -0.00000, 0.00000, 0.03000, 1.42857, 25.50000, false
0.51857, 3.14286, 9.52381, 0.00000, 0.00000, 0.03000, 1.51857, 25.50000, false
0.61714, 3.42857, 9.52381, 0.00000, 0.00000, 0.03000, 1.61714, 25.50000, false
0.72429, 3.71429, 9.52381, 0.00000, 0.00000, 0.03000, 1.72429, 25.50000, false
0.84000, 4.00000, 9.52381, -0.00000, 0.00000, 0.03000, 1.84000, 25.50000, false
0.96000, 4.00000, 0.00000, -317.46032, 0.00000, 0.03000, 1.96000, 25.50000, false
1.08000, 4.00000, 0.00000, 0.00000, 0.00000, 0.03000, 2.08000, 25.50000, false
1.20000, 4.00000, 0.00000, 0.00000, 0.00000, 0.03000, 2.20000, 25.50000, false
1.32000, 4.00000, 0.00000, 0.00000, 0.00000, 0.03000, 2.32000, 25.50000, false
1.44000, 4.00000, 0.00000, 0.00000, 0.00000, 0.03000, 2.44000, 25.50000, false
1.56000, 4.00000, 0.00000, 0.00000, 0.00000, 0.03000, 2.56000, 25.50000, false
1.68000, 4.00000, 0.00000, 0.00000, 0.00000, 0.03000, 2.68000, 25.50000, false
1.80000, 4.00000, 0.00000, 0.00000, 0.00000, 0.03000, 2.80000, 25.50000, false
1.92000, 4.00000, 0.00000, 0.00000, 0.00000, 0.03000, 2.92000, 25.50000, false
2.04000, 4.00000, 0.00000, 0.00000, 0.00000, 0.03000, 3.04000, 25.50000, false
2.16000, 4.00000, 0.00000, 0.00000, 0.00000, 0.03000, 3.16000, 25.50000, false
2.28000, 4.00000, 0.00000, 0.00000, 0.00000, 0.03000, 3.28000, 25.50000, false
2.40000, 4.00000, 0.00000, 0.00000, 0.00000, 0.03000, 3.40000, 25.50000, false
2.52000, 4.00000, 0.00000, 0.00000, 0.00000, 0.03000, 3.52000, 25.50000, false
2.64000, 4.00000, 0.00000, 0.00000, 0.00000, 0.03000, 3.64000, 25.50000, false
2.76000, 4.00000, 0.00000, 0.00000, 0.00000, 0.03000, 3.76000, 25.50000, false
2.88000, 4.00000, 0.00000, 0.00000, 0.00000, 0.03000, 3.88000, 25.50000, false
