position,velocity,acceleration,jerk,heading,dt,x,y
0.00000, -0.00000, 0.00000, 0.00000, 3.14159, 0.05000, 5.50000, 17.35417, true
0.03000, -0.60000, -12.00000, 0.00000, 3.14159, 0.05000, 5.53000, 17.35417, true
0.09000, -1.20000, -12.00000, 0.00000, 3.14159, 0.05000, 5.59000, 17.35417, true
0.18000, -1.80000, -12.00000, 0.00000, 3.14159, 0.05000, 5.68000, 17.35417, true
0.30000, -2.40000, -12.00000, 0.00000, 3.14159, 0.05000, 5.80000, 17.35417, true
0.45000, -3.00000, -12.00000, 0.00000, 3.14159, 0.05000, 5.95000, 17.35417, true
0.63000, -3.60000, -12.00000, 0.00000, 3.14159, 0.05000, 6.13000, 17.35417, true
0.84000, -4.20000, -12.00000, 0.00000, 3.14159, 0.05000, 6.34000, 17.35417, true
1.08000, -4.80000, -12.00000, 0.00000, 3.14159, 0.05000, 6.58000, 17.35417, true
1.35000, -5.40000, -12.00000, 0.00000, 3.14159, 0.05000, 6.85000, 17.35417, true
1.65000, -6.00000, 0.00000, 0.00000, 3.14159, 0.05000, 7.15000, 17.35417, true
1.95000, -6.00000, 0.00000, 0.00000, 3.14159, 0.05000, 7.45000, 17.35417, true
2.25000, -6.00000, 0.00000, 0.00000, 3.14159, 0.05000, 7.75000, 17.35417, true
2.55000, -6.00000, 0.00000, 0.00000, 3.14159, 0.05000, 8.05000, 17.35417, true
2.85000, -6.00000, 0.00000, 0.00000, 3.14159, 0.05000, 8.35000, 17.35417, true
3.15000, -6.00000, 0.00000, 0.00000, 3.14159, 0.05000, 8.65000, 17.35417, true
3.45000, -6.00000, 0.00000, 0.00000, 3.14159, 0.05000, 8.95000, 17.35417, true
3.75000, -6.00000, 0.00000, 0.00000, 3.14159, 0.05000, 9.25000, 17.35417, true
4.05000, -6.00000, 0.00000, 0.00000, 3.14159, 0.05000, 9.55000, 17.35417, true
4.35000, -6.00000, 0.00000, 0.00000, 3.14159, 0.05000, 9.85000, 17.35417, true
4.05000, -6.00000, 0.00000, 0.00000, 3.14159, 0.05000, 9.55000, 17.35417, true
4.37000, -6.40000, -8.00000, 0.00000, 3.14159, 0.05000, 9.87000, 17.35417, true
4.71000, -6.80000, -8.00000, 0.00000, -3.14093, 0.05000, 10.21000, 17.35421, true
5.07000, -7.20000, -8.00000, 0.00000, -3.13683, 0.05000, 10.57000, 17.35508, true
