position,velocity,acceleration,jerk,heading,dt,x,y
0.000, 0.000, 0.000, 0.000, 0.000, 0.020, 24.000, 18.910
0.003, 0.160, 8.000, 400.023, -0.000, 0.020, 23.997, 18.910
0.010, 0.320, 8.003, 0.135, -0.000, 0.020, 23.990, 18.910
0.019, 0.480, 8.009, 0.270, -0.000, 0.020, 23.981, 18.910
0.032, 0.641, 8.017, 0.403, -0.000, 0.020, 23.968, 18.910
0.048, 0.801, 8.027, 0.535, -0.000, 0.020, 23.952, 18.910
0.067, 0.962, 8.041, 0.664, -0.000, 0.020, 23.933, 18.910
0.090, 1.123, 8.056, 0.789, -0.000, 0.020, 23.910, 18.910
0.115, 1.285, 8.075, 0.912, -0.000, 0.020, 23.885, 18.910
0.144, 1.446, 8.095, 1.030, -0.000, 0.020, 23.856, 18.910
0.177, 1.609, 8.118, 1.144, -0.000, 0.020, 23.823, 18.910
0.212, 1.772, 8.143, 1.252, -0.001, 0.020, 23.788, 18.910
0.251, 1.935, 8.170, 1.355, -0.001, 0.020, 23.749, 18.910
0.293, 2.099, 8.199, 1.452, -0.001, 0.020, 23.707, 18.910
0.338, 2.264, 8.230, 1.543, -0.002, 0.020, 23.662, 18.910
0.387, 2.429, 8.263, 1.628, -0.002, 0.020, 23.613, 18.910
0.438, 2.595, 8.297, 1.705, -0.003, 0.020, 23.562, 18.910
0.494, 2.762, 8.332, 1.775, -0.004, 0.020, 23.506, 18.910
0.552, 2.929, 8.369, 1.838, -0.005, 0.020, 23.448, 18.911
0.614, 3.097, 8.407, 1.892, -0.006, 0.020, 23.386, 18.911
0.679, 3.266, 8.446, 1.939, -0.007, 0.020, 23.321, 18.911
0.748, 3.436, 8.485, 1.978, -0.008, 0.020, 23.252, 18.912
0.820, 3.606, 8.525, 2.008, -0.010, 0.020, 23.180, 18.913
0.896, 3.777, 8.566, 2.030, -0.012, 0.020, 23.104, 18.913
0.975, 3.950, 8.607, 2.042, -0.014, 0.020, 23.025, 18.914
1.057, 4.123, 8.648, 2.045, -0.016, 0.020, 22.943, 18.916
1.143, 4.296, 8.688, 2.038, -0.018, 0.020, 22.857, 18.917
1.233, 4.471, 8.729, 2.020, -0.021, 0.020, 22.767, 18.919
1.326, 4.646, 8.769, 1.992, -0.024, 0.020, 22.675, 18.921
1.422, 4.822, 8.808, 1.952, -0.028, 0.020, 22.578, 18.923
1.522, 4.999, 8.846, 1.900, -0.031, 0.020, 22.478, 18.926
1.626, 5.177, 8.882, 1.834, -0.035, 0.020, 22.375, 18.930
1.733, 5.355, 8.918, 1.755, -0.039, 0.020, 22.268, 18.934
1.843, 5.534, 8.951, 1.661, -0.044, 0.020, 22.157, 18.938
1.958, 5.714, 8.982, 1.550, -0.049, 0.020, 22.043, 18.944
2.076, 5.894, 9.010, 1.422, -0.055, 0.020, 21.925, 18.950
2.197, 6.075, 9.036, 1.276, -0.060, 0.020, 21.804, 18.957
2.322, 6.256, 9.058, 1.110, -0.067, 0.020, 21.679, 18.965
2.451, 6.438, 9.076, 0.924, -0.073, 0.020, 21.551, 18.974
2.583, 6.619, 9.091, 0.715, -0.080, 0.020, 21.419, 18.984
2.719, 6.801, 9.100, 0.483, -0.087, 0.020, 21.283, 18.995
2.859, 6.984, 9.105, 0.228, -0.095, 0.020, 21.144, 19.008
3.002, 7.166, 9.104, -0.052, -0.103, 0.020, 21.001, 19.022
3.149, 7.348, 9.097, -0.357, -0.112, 0.020, 20.855, 19.038
3.300, 7.529, 9.083, -0.686, -0.121, 0.020, 20.706, 19.055
3.454, 7.710, 9.062, -1.039, -0.130, 0.020, 20.553, 19.075
3.612, 7.891, 9.034, -1.415, -0.140, 0.020, 20.396, 19.096
3.773, 8.071, 8.998, -1.812, -0.150, 0.020, 20.237, 19.119
3.938, 8.250, 8.953, -2.228, -0.161, 0.020, 20.074, 19.145
4.107, 8.428, 8.900, -2.658, -0.171, 0.020, 19.907, 19.173
4.279, 8.605, 8.838, -3.100, -0.182, 0.020, 19.738, 19.203
4.455, 8.780, 8.767, -3.548, -0.194, 0.020, 19.565, 19.236
4.634, 8.954, 8.687, -3.998, -0.205, 0.020, 19.390, 19.271
4.816, 9.126, 8.598, -4.443, -0.217, 0.020, 19.211, 19.310
4.999, 9.145, 0.971, -381.375, -0.229, 0.020, 19.033, 19.350
5.182, 9.141, -0.198, -58.433, -0.241, 0.020, 18.855, 19.393
5.365, 9.136, -0.288, -4.481, -0.253, 0.020, 18.678, 19.437
5.547, 9.128, -0.374, -4.319, -0.264, 0.020, 18.502, 19.484
5.730, 9.119, -0.457, -4.141, -0.275, 0.020, 18.326, 19.533
5.912, 9.108, -0.536, -3.947, -0.287, 0.020, 18.151, 19.583
6.094, 9.096, -0.611, -3.742, -0.298, 0.020, 17.977, 19.636
6.275, 9.082, -0.681, -3.527, -0.308, 0.020, 17.803, 19.690
6.457, 9.068, -0.747, -3.306, -0.319, 0.020, 17.631, 19.746
6.638, 9.051, -0.809, -3.082, -0.329, 0.020, 17.459, 19.803
6.818, 9.034, -0.866, -2.856, -0.339, 0.020, 17.288, 19.862
