position,velocity,acceleration,jerk,heading,dt,x,y
0.00000, -0.00000, 0.00000, 0.00000, 3.14159, 0.05000, 2.00000, 13.50000, true
0.03000, -0.60000, -12.00000, 0.00000, 3.14159, 0.05000, 2.03000, 13.50000, true
0.09000, -1.20000, -12.00000, 0.00000, 3.14159, 0.05000, 2.09000, 13.50000, true
0.18000, -1.80000, -12.00000, 0.00000, 3.14159, 0.05000, 2.18000, 13.50000, true
0.30000, -2.40000, -12.00000, 0.00000, 3.14159, 0.05000, 2.30000, 13.50000, true
0.45000, -3.00000, -12.00000, 0.00000, 3.14159, 0.05000, 2.45000, 13.50000, true
0.63000, -3.60000, -12.00000, 0.00000, 3.14159, 0.05000, 2.63000, 13.50000, true
0.83000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 2.83000, 13.50000, true
1.03000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 3.03000, 13.50000, true
1.23000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 3.23000, 13.50000, true
1.43000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 3.43000, 13.50000, true
1.63000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 3.63000, 13.50000, true
1.83000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 3.83000, 13.50000, true
2.03000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 4.03000, 13.50000, true
2.23000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 4.23000, 13.50000, true
2.43000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 4.43000, 13.50000, true
2.63000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 4.63000, 13.50000, true
2.83000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 4.83000, 13.50000, true
3.03000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 5.03000, 13.50000, true
3.23000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 5.23000, 13.50000, true
3.43000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 5.43000, 13.50000, true
3.63000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 5.63000, 13.50000, true
3.83000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 5.83000, 13.50000, true
4.03000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 6.03000, 13.50000, true
4.23000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 6.23000, 13.50000, true
4.43000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 6.43000, 13.50000, true
4.60000, -3.40000, 12.00000, 0.00000, 3.14159, 0.05000, 6.60000, 13.50000, true
4.74000, -2.80000, 12.00000, 0.00000, 3.14159, 0.05000, 6.74000, 13.50000, true
4.85000, -2.20000, 12.00000, 0.00000, 3.14159, 0.05000, 6.85000, 13.50000, true
4.93000, -1.60000, 12.00000, 0.00000, 3.14159, 0.05000, 6.93000, 13.50000, true
4.98000, -1.00000, 12.00000, 0.00000, 3.14159, 0.05000, 6.98000, 13.50000, true
5.00000, -0.40000, 12.00000, 0.00000, 3.14159, 0.05000, 7.00000, 13.50000, true
4.99000, 0.00000, 0.00000, 0.00000, 3.14159, 0.05000, 6.99000, 13.50000, true
4.99000, 0.00000, 0.00000, 0.00000, 3.14159, 0.05000, 6.99000, 13.50000, true
