position,velocity,acceleration,jerk,heading,dt,x,y
0.00000, -0.00000, 0.00000, 0.00000, 3.14159, 0.05000, 2.00000, 13.50000, true
0.02500, -0.50000, -10.00000, 0.00000, 3.14159, 0.05000, 2.02500, 13.50000, true
0.07500, -1.00000, -10.00000, 0.00000, 3.14159, 0.05000, 2.07500, 13.50000, true
0.15000, -1.50000, -10.00000, 0.00000, 3.14159, 0.05000, 2.15000, 13.50000, true
0.25000, -2.00000, -10.00000, 0.00000, 3.14159, 0.05000, 2.25000, 13.50000, true
0.37500, -2.50000, -10.00000, 0.00000, 3.14159, 0.05000, 2.37500, 13.50000, true
0.52500, -3.00000, -10.00000, 0.00000, 3.14159, 0.05000, 2.52500, 13.50000, true
0.70000, -3.50000, -10.00000, 0.00000, 3.14159, 0.05000, 2.70000, 13.50000, true
0.90000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 2.90000, 13.50000, true
1.10000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 3.10000, 13.50000, true
1.30000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 3.30000, 13.50000, true
1.50000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 3.50000, 13.50000, true
1.70000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 3.70000, 13.50000, true
1.90000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 3.90000, 13.50000, true
2.10000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 4.10000, 13.50000, true
2.30000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 4.30000, 13.50000, true
2.50000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 4.50000, 13.50000, true
2.70000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 4.70000, 13.50000, true
2.90000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 4.90000, 13.50000, true
3.10000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 5.10000, 13.50000, true
3.30000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 5.30000, 13.50000, true
3.50000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 5.50000, 13.50000, true
3.70000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 5.70000, 13.50000, true
3.90000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 5.90000, 13.50000, true
4.10000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 6.10000, 13.50000, true
4.30000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 6.30000, 13.50000, true
4.47500, -3.50000, 10.00000, 0.00000, 3.14159, 0.05000, 6.47500, 13.50000, true
4.62500, -3.00000, 10.00000, 0.00000, 3.14159, 0.05000, 6.62500, 13.50000, true
4.75000, -2.50000, 10.00000, 0.00000, 3.14159, 0.05000, 6.75000, 13.50000, true
4.85000, -2.00000, 10.00000, 0.00000, 3.14159, 0.05000, 6.85000, 13.50000, true
4.92500, -1.50000, 10.00000, 0.00000, 3.14159, 0.05000, 6.92500, 13.50000, true
4.97500, -1.00000, 10.00000, 0.00000, 3.14159, 0.05000, 6.97500, 13.50000, true
