position,velocity,acceleration,jerk,heading,dt,x,y
0.00000, -0.00000, 0.00000, 0.00000, 3.14159, 0.05000, 2.00000, 14.61500, true
-0.03000, -0.60000, -12.00000, -240.00000, 3.14159, 0.05000, 2.03000, 14.61500, true
-0.09000, -1.20000, -12.00000, -0.00000, 3.14159, 0.05000, 2.09000, 14.61500, true
-0.18000, -1.80000, -12.00000, -0.00000, 3.14159, 0.05000, 2.18000, 14.61500, true
-0.30000, -2.40000, -12.00000, 0.00000, 3.14159, 0.05000, 2.30000, 14.61500, true
-0.45000, -3.00000, -12.00000, -0.00000, 3.14159, 0.05000, 2.45000, 14.61500, true
-0.63000, -3.60000, -12.00000, 0.00000, 3.14159, 0.05000, 2.63000, 14.61500, true
-0.84000, -4.20000, -12.00000, 0.00000, 3.14159, 0.05000, 2.84000, 14.61500, true
-1.08000, -4.80000, -12.00000, -0.00000, 3.14159, 0.05000, 3.08000, 14.61500, true
-1.35000, -5.40000, -12.00000, -0.00000, 3.14159, 0.05000, 3.35000, 14.61500, true
-1.65000, -6.00000, -12.00000, -0.00000, 3.14159, 0.05000, 3.65000, 14.61500, true
-1.98000, -6.60000, -12.00000, 0.00000, 3.14159, 0.05000, 3.98000, 14.61500, true
-2.34000, -7.20000, -12.00000, 0.00000, 3.14159, 0.05000, 4.34000, 14.61500, true
-2.73000, -7.80000, -12.00000, 0.00000, 3.14159, 0.05000, 4.73000, 14.61500, true
-3.15000, -8.40000, -12.00000, -0.00000, 3.14159, 0.05000, 5.15000, 14.61500, true
-3.60000, -9.00000, -12.00000, -0.00000, 3.14159, 0.05000, 5.60000, 14.61500, true
-4.08000, -9.60000, -12.00000, -0.00000, 3.14159, 0.05000, 6.08000, 14.61500, true
-4.58000, -10.00000, -8.00000, 80.00000, 3.14159, 0.05000, 6.58000, 14.61500, true
-5.08000, -10.00000, 0.00000, 160.00000, 3.14159, 0.05000, 7.08000, 14.61500, true
-5.58000, -10.00000, -0.00000, -0.00000, 3.14159, 0.05000, 7.58000, 14.61500, true
-6.08000, -10.00000, 0.00000, 0.00000, 3.14159, 0.05000, 8.08000, 14.61500, true
-6.58000, -10.00000, -0.00000, -0.00000, 3.14159, 0.05000, 8.58000, 14.61500, true
-7.08000, -10.00000, 0.00000, 0.00000, 3.14159, 0.05000, 9.08000, 14.61500, true
-7.58000, -10.00000, 0.00000, -0.00000, 3.14159, 0.05000, 9.58000, 14.61500, true
-8.08000, -10.00000, -0.00000, -0.00000, 3.14159, 0.05000, 10.08000, 14.61500, true
-8.58000, -10.00000, 0.00000, 0.00000, 3.14159, 0.05000, 10.58000, 14.61500, true
-9.08000, -10.00000, -0.00000, -0.00000, 3.14159, 0.05000, 11.08000, 14.61500, true
-9.58000, -10.00000, 0.00000, 0.00000, 3.14159, 0.05000, 11.58000, 14.61500, true
-10.08000, -10.00000, -0.00000, -0.00000, 3.14159, 0.05000, 12.08000, 14.61500, true
-10.58000, -10.00000, -0.00000, -0.00000, 3.14159, 0.05000, 12.58000, 14.61500, true
-11.08000, -10.00000, -0.00000, 0.00000, 3.14159, 0.05000, 13.08000, 14.61500, true
-11.58000, -10.00000, 0.00000, 0.00000, 3.14159, 0.05000, 13.58000, 14.61500, true
-12.08000, -10.00000, -0.00000, -0.00000, 3.14159, 0.05000, 14.08000, 14.61500, true
-12.58000, -10.00000, 0.00000, 0.00000, 3.14159, 0.05000, 14.58000, 14.61500, true
-13.08000, -10.00000, -0.00000, -0.00000, 3.14159, 0.05000, 15.08000, 14.61500, true
-13.58000, -10.00000, 0.00000, 0.00000, 3.14159, 0.05000, 15.58000, 14.61500, true
-14.08000, -10.00000, 0.00000, 0.00000, 3.14159, 0.05000, 16.08000, 14.61500, true
